11593	AT3G03280	968
11594	AT3G03280	968
11595	AT3G03280	968
11596	AT3G03280	968
11597	AT3G03280	968
11598	AT3G03280	968
11599	AT3G03280	968
11600	AT3G03280	968
11601	AT3G03280	968
11602	AT3G03280	968
11603	AT3G03280	968
11604	AT3G03280	968
11605	AT3G03280	968
11606	AT3G03280	968
11607	AT3G03280	968
11612	AT3G03290	1179
11613	AT3G03290	1179
11614	AT3G03290	1179
11615	AT3G03310	3136
11616	AT3G03510	1669
11617	AT3G03530	2598
11618	AT3G03660	3064
11619	AT3G03660	3064
11622	AT3G03680	3545
11623	AT3G03680	3545
11624	AT3G03690	2647
11625	AT3G03773	2428
11627	AT3G03830	587
11628	AT3G03830	587
11629	AT1G03900	249
11630	AT1G03900	249
11631	AT3G03890	3246
11632	AT3G03900	2261
11633	AT3G03910	2239
11634	AT2G03350	55
11637	AT3G03980	1578
11641	AT3G04090	2261
11642	AT3G04090	2261
11643	AT3G04140	2901
11644	AT3G04140	2901
11645	AT3G04170	1045
11646	AT3G04170	1045
11647	AT3G04170	1045
11648	AT3G04170	1045
11649	AT3G04170	1045
11673	AT3G04190	886
11674	AT3G04290	3078
11675	AT3G04340	7083
11676	AT3G04340	7083
11677	AT3G04390	391
11678	AT3G04420	1822
11679	AT3G04530	1323
11682	AT3G04560	2404
11683	AT3G04605	3727
11685	AT3G04650	2831
11686	AT3G04650	2831
11687	AT3G04650	2831
11688	AT3G04650	2831
11689	AT3G04780	2093
11692	AT3G04910	3700
11694	AT3G05035	1171
11695	AT3G05035	1171
11696	AT3G05035	1171
11697	AT3G05035	1171
11699	AT3G05100	2507
11707	AT3G05160	4224
11708	AT3G05160	4224
11709	AT3G05160	4224
11710	AT3G05160	4224
11713	AT3G05320	2507
11714	AT3G05400	4774
11715	AT3G05400	4774
11716	AT3G05400	4774
11717	AT3G05470	3655
11720	AT3G05480	4021
11721	AT3G05480	4021
11722	AT3G05480	4021
11723	AT3G05480	4021
11724	AT3G05480	4021
11725	AT3G05480	4021
11726	AT3G05480	4021
11727	AT3G05480	4021
11728	AT3G05480	4021
11729	AT3G05480	4021
11730	AT3G05480	4021
11731	AT3G05480	4021
11732	AT2G04550	246
11733	AT2G04550	246
11734	AT2G04550	246
11735	AT2G04550	246
11737	AT3G05600	1609
11738	AT3G05620	2331
11741	AT3G05650	3861
11742	AT3G05650	3861
11743	AT2G04920	1128
11744	AT2G04920	1128
11745	AT3G05890	1368
11746	AT3G05890	1368
11747	AT3G05890	1368
11748	AT3G05890	1368
11749	AT3G05890	1368
11750	AT3G05890	1368
11751	AT3G05890	1368
11752	AT3G05890	1368
11759	AT3G05970	5609
11760	AT1G05910	102
11761	AT1G05910	102
11762	AT1G05920	945
11763	AT1G05920	945
11764	AT1G05920	945
11765	AT1G05920	945
11766	AT1G05920	945
11767	AT1G05920	945
11768	AT1G05920	945
11769	AT1G05920	945
11770	AT1G05920	945
11771	AT1G05920	945
11772	AT1G05920	945
11773	AT3G06010	5390
11776	AT3G06125	1749
11777	AT3G06125	1749
11780	AT3G06150	2808
11781	AT3G06150	2808
11782	AT3G06160	3143
11783	AT3G06330	2854
11786	AT5G06330	621
11787	AT3G06390	1519
11790	AT1G06490	153
11792	AT3G01855	367
11793	AT3G06590	2974
11794	AT3G06590	2974
11797	AT3G06820	5251
11798	AT3G06820	5251
11799	AT3G06820	5251
11801	AT3G07000	2111
11802	AT3G07060	4608
